Street_name,Location,2010,2011,2012-May,2012-September,2013-May,2013-September,2014-May,2014-September,2015-May,2019-May,Total,Average
Milwaukee,Emerald / Milwaukee,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,76.0
Phillippi,Emerald / Phillippi,0.0,68.0,0.0,0.0,0.0,69.0,52.0,0.0,0.0,0.0,189,63.0
Roosevelt,Emerald / Roosevelt,70.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,187,46.75
Orchard,Fairview / Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,53,53.0
Federal way,Federal Way / Bergeson,51.0,0.0,0.0,0.0,0.0,0.0,33.0,34.0,0.0,0.0,210,42.0
Gowen,Federal Way / Gowen,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19,19.0
Kootenai,Federal Way / Kootenai,0.0,0.0,0.0,0.0,53.0,145.0,0.0,0.0,0.0,0.0,198,99.0
McMillan,Five Mile / McMillan,52.0,76.0,55.0,0.0,0.0,66.0,49.0,57.0,0.0,0.0,437,54.625
Franklin,Franklin / Meridian,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5.666666666666667
Friendship Bridge,Friendship Bridge / Greenbelt N,0.0,0.0,0.0,0.0,242.0,0.0,190.0,0.0,0.0,0.0,432,216.0
Friendship Bridge,Friendship Bridge / Greenbelt S,0.0,0.0,0.0,0.0,406.0,593.0,297.0,505.0,0.0,0.0,1801,450.25
Garden,Garden / Emerald,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27,27.0
Irving,Garden / Irving,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,57.0
Gillis,Gary / Gillis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29,29.0
Gary,Gary / State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25,25.0
Marigold,Glenwood / Marigold,0.0,0.0,140.0,0.0,72.0,27.0,0.0,33.0,0.0,0.0,272,68.0
Pleasant Valley,Gowen / Pleasant Valley,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17,17.0
Castle,Hill / Castle,0.0,0.0,53.0,0.0,33.0,38.0,20.0,27.0,34.0,0.0,205,34.166666666666664
Hill,Hill / Collister,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,58,58.0
Gary,Hill / Gary,0.0,0.0,72.0,0.0,72.0,0.0,82.0,0.0,31.0,0.0,257,64.25
Harrison,Hill / Harrison,0.0,0.0,0.0,68.0,95.0,49.0,59.0,125.0,0.0,0.0,396,79.2
